Name,City,Country,IATA,Latitude,Longitude,Altitude,destination_airport,destination_city,destination_country,destination_airport_lat,destination_airport_lon,destination_airport_alt,destination_airport_IATA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,El Paso International Airport,El Paso,United States,31.80719948,-106.37799840000002,3959.0,ELP
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Mahlon Sweet Field,Eugene,United States,44.12459945678711,-123.21199798583984,374.0,EUG
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Fresno Yosemite International Airport,Fresno,United States,36.77619934082031,-119.71800231933594,336.0,FAT
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,20.52179908752441,-103.31099700927734,5016.0,GDL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459.0,GRU
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Hong Kong International Airport,Hong Kong,Hong Kong,22.308901,113.915001,28.0,HKG
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Daniel K Inouye International Airport,Honolulu,United States,21.32062,-157.924228,13.0,HNL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,IAD
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,George Bush Intercontinental Houston Airport,Houston,United States,29.98439979553223,-95.34140014648438,97.0,IAH
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,IND
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,JFK
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,19.738783,-156.045603,47.0,KOA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,83.0,LHR
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Lihue Airport,Lihue,United States,21.97599983215332,-159.33900451660156,153.0,LIH
